ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
;;DOCK7;;DHCR7;UNG;;;;;EBNA1BP2;TCN2
;;RFC1;;BST1;BUB1B;;;;;CHCHD3;null
;;KRAS;;SPIB;SMS;;;;;SNRPD3;ABTB1
;;CD180;;EPSTI1;HIST1H4H;;;;;ZMYND19;DGKG
;;NASP;;TAPBP;CDR2;;;;;02-sept;GIMAP1
;;SCIN;;KCNK5;EME1;;;;;BCLAF1;GPR162
;;null;;MUC13;POLR2L;;;;;HIST1H4I;TMEM71
;;ATP6V0A1;;PCMTD1;GZMA;;;;;LTA4H;BTG1
;;FUT7;;LDLR;ASF1B;;;;;CYCS;CACNB3
;;DEK;;TMEM131;CD6;;;;;FABP5;EPHX1
;;null;;null;SNRPE;;;;;NDUFB5;TMSB4X
;;NR4A1;;RAG2;MDM1;;;;;GTF2F1;IL21R
;;IL10RB;;CPA3;PSMD14;;;;;AZIN1;VASN
;;CD33;;IRF7;MCM10;;;;;SAMM50;ITPKB
;;STMN1;;WDR78;TYMS;;;;;PABPN1;PLEKHG2
;;PIK3AP1;;XBP1;DUT;;;;;GNL2;SPSB1
;;null;;IL10RA;ERH;;;;;POLR2F;EGR2
;;PTP4A1;;ELK3;THOP1;;;;;SFRS3;PHF1
;;GFI1B;;PPT1;GOT1;;;;;NAP1L1;SOCS1
;;SLC43A3;;SLC15A2;BYSL;;;;;SLC38A1;GPX3
;;ITGAM;;ALOX5AP;CDT1;;;;;STT3B;TNFSF14
;;XPO1;;RGS18;EXO1;;;;;BOP1;null
;;PLXNB2;;GPR56;ETV5;;;;;ACAD9;ABCG1
;;null;;RAB6B;SMC6;;;;;AGTPBP1;ADAM12
;;REL;;JUN;MYO5A;;;;;HMGB3;ZDHHC14
;;DEPDC6;;null;H2AFX;;;;;ITM2A;PIP5K1B
;;RASGRP2;;PLEKHA7;RRM1;;;;;FEN1;02-mars
;;POLE2;;null;TUBB2C;;;;;DARS;ZYX
;;PRC1;;TRAFD1;SET;;;;;SHMT1;LTB
;;POLD3;;TIFA;PSMC1;;;;;COX7A2;EXTL1
;;SMAD7;;RAB38;NME1;;;;;COPS3;PNRC1
;;RAD54L;;CAPN5;GNL3;;;;;TIMELESS;MYO1F
;;AR;;CD79B;IQGAP3;;;;;API5;YPEL5
;;ENDOD1;;CTLA4;FANCA;;;;;MASTL;TBXA2R
